;melting point [K];boiling point [K];atomic radius [pm];covalent radius [pm];specific volume [cm3];specific heat [J/(Kg K)];thermal conductivity [W/(m k)];Pauling electronegativity [Pauling scale];first ionisation energy [kJ/mol]; lattice constant [pm]
H;14.01;20.28;25;31;11.42;14300;0.18;2.2;1312;470
Li;453.69;1615;145;128;13.02;3570;85;0.98;520.2;531
Be;1560;2742;105;96;4.85;1820;190;1.57;899.5;228.58
B;2349;4200;85;84;4.39;1039;27;2.04;800.6;506
C;3800;4300;70;76;5.29;710;140;2.55;1086.5;246.4
N;63.05;77.36;65;71;13.54;1040;0.03;3.04;1402.3;386.1
O;54.8;90.2;60;66;17.36;919;0.03;3.44;1313.9;540.3
Ne;24.56;27.07;38;58;13.23;1030;0.05;0;2080.7;442.9
Na;370.87;1156;180;166;23.78;1230;140;0.93;495.8;429.06
Mg;923;1363;150;141;14;1020;160;1.31;737.7;320.94
Al;933.47;2792;125;121;10;904;235;1.61;577.5;404.95
Si;1687;3173;110;111;12.06;710;150;1.9;786.5;543.09
P;317.3;550;100;107;17.02;769.7;0.44;2.19;1011.8;1145
S;388.36;717.87;100;105;15.53;705;0.2;2.58;999.6;1043.7
Cl;171.6;239.11;100;102;17.39;478.2;0.01;3.16;1251.2;622.35
Ar;83.8;87.3;71;106;22.56;520.33;0.02;0;1520.6;526.6
K;336.53;1032;220;203;45.94;757;100;0.82;418.8;532.8
Ca;1115;1757;180;176;26.2;631;200;1;589.8;558.84
Sc;1814;3103;160;170;15;567;16;1.36;633.1;330.9
Ti;1941;3560;140;160;10.64;520;21.9;1.54;658.8;295.08
V;2183;3680;135;153;8.32;489;30.7;1.63;650.9;303
Cr;2180;2944;140;139;7.23;448;94;1.66;652.9;291
Mn;1519;2334;140;139;7.35;479;7.8;1.55;717.3;891.25
Fe;1811;3134;140;132;7.09;449;80;1.83;762.5;286.65
Co;1768;3200;135;126;6.67;421;100;1.88;760.4;250.71
Ni;1728;3186;135;124;6.59;445;91;1.91;731.1;352.4
Cu;157.77;3200;135;132;7.11;384.4;400;1.9;745.5;361.49
Zn;692.68;1180;135;122;9.16;388;116;1.65;906.5;266.49
Ga;302.91;2477;130;122;11.8;371;29;1.81;578.8;451.97
Ge;1211.4;3093;125;120;13.63;321.4;60;2.01;762;565.75
As;1090;887;115;119;12.95;328;50;2.18;947;375.98
Se;494;958;115;120;16.42;321;0.52;2.55;941;905.4
Br;265.8;332;115;120;19.78;947.3;0.12;2.96;1139.9;672.65
Kr;115.79;119.93;88;116;27.99;248.05;0.01;3;1350.8;570.6
Rb;312.46;961;235;220;55.76;364;58;0.82;403;558.5
Sr;1050;1655;200;195;33.94;300;35;0.95;549.5;608.49
